TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,conversion.to(conv).using(convers),4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Conversion registries scoping,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Optimize implementation of conversions chain search,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Builder for conversion registry,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Consider introducing unsafe type casting conversion (e.g. Number -> Integer),4,1,Павел (12126225),,,en,Asia/Omsk
note,"package io.excellentchoise.typeconversion.core.registry;

import io.excellentchoise.typeconversion.core.Conversion;
import io.excellentchoise.typeconversion.core.ConversionFailedException;
import io.excellentchoise.typeconversion.core.ConversionSignature;

import java.util.Optional;

public class UnsafeTypeCasting implements ConversionRegistry {
    @Override
    @SuppressWarnings(""unchecked"")
    public <Source, Result> Optional<Conversion<Source, Result>> getConversion(ConversionSignature<Source, Result> signature) {
        if (signature.getSourceClass().isAssignableFrom(signature.getResultClass())) {
            return Optional.of((source) -> {
                if (signature.getResultClass().isAssignableFrom(source.getClass())) {
                    return (Result) source;
                } else {
                    throw new ConversionFailedException(""Failed to convert source of type "" + source.getClass().getCanonicalName() + "" to "" + signature.getResultClass().getCanonicalName());
                }
            });
        } else {
            return Optional.empty();
        }
    }
}",,,Павел (12126225),,,,
,,,,,,,,
task,Interface for builders,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Extend ConversionSignature on generics,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Correspondence - interaction with optionals,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,"Duplicate functionality of Dapper and AutoMapper with reflection conversion of objects http://modelmapper.org/ (ModelMapper - Simple, Intelligent, Object Mapping.)",4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Investigate different ways of library usage (singleton/instances creation),4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Defensive copying in builders to they won't be used after build,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Document exception contract for existing conversions,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Class[T] <-> String (Injection),4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Extract conversion registry from type switching,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Write Byte array conversions,4,1,Павел (12126225),,,en,Asia/Omsk
note,"Array[Byte] <-> GZippedBytes
Array[Byte] <-> Base64String
Array[Byte] <-> GZippedBase64String
Array[Byte] <-> java.nio.ByteBuffer",,,Павел (12126225),,,,
,,,,,,,,
task,Write collection conversions,4,1,Павел (12126225),,,en,Asia/Omsk
note,"Single element -> collection
Array to list
set to list etc.",,,Павел (12126225),,,,
,,,,,,,,
task,Write conversions for numbers,4,1,Павел (12126225),,,en,Asia/Omsk
note,"Number -> Byte
Number -> Integer
Number -> Short
Number -> Float
Number -> Double",,,Павел (12126225),,,,
,,,,,,,,
task,Write conversions for String,4,1,Павел (12126225),,,en,Asia/Omsk
note,"Object -> String
String -> String (split)
Iterable<String> -> String (join)
String -> Byte[]",,,Павел (12126225),,,,
,,,,,,,,
task,Write injections from Object to  Primitive system types,4,1,Павел (12126225),,,en,Asia/Omsk
note,"Object -> BigDecimal
Object -> Boolean
Object -> Byte
Object -> Character
Object -> Double
Object -> Float
Object -> Integer
Object -> Long
Object -> Short",,,Павел (12126225),,,,
,,,,,,,,
task,Write conversions for bytes (can try to use HBase Bytes class),4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
task,Conversion by constructor - investigate inherited types,4,1,Павел (12126225),,,en,Asia/Omsk
,,,,,,,,
